Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,total_salary
8000167,DEF,Mitch McGovern,Carlton,Richmond,9850,0,0,,97780
8000047,DEF,Daniel Rioli,Richmond,Carlton,12080,0,0,,97780
8001495,MID,Marlion Pickett,Richmond,Carlton,10390,0,0,,97780
8001384,MID,Sam Walsh,Carlton,Richmond,15150,0,0,,97780
8000231,MID,George Hewett,Carlton,Richmond,12880,0,0,,97780
8000919,MID,Paddy Dow,Carlton,Richmond,7120,0,0,,97780
8000857,RK,Ivan Soldo,Richmond,Carlton,7670,0,0,,97780
8000039,FWD,Dustin Martin,Richmond,Carlton,13330,0,0,,97780
8001896,FWD,Tyler Sonsie,Richmond,Carlton,9310,0,0,,97780
