Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,total_salary
8000906,DEF,Lewis Young,Carlton,Richmond,8750,0,0,,85590
8001788,DEF,Rhyan Mansell,Richmond,Carlton,7340,0,0,,85590
8000231,MID,George Hewett,Carlton,Richmond,12880,0,0,,85590
8000499,MID,Jacob Hopper,Richmond,Carlton,12690,0,0,,85590
8001511,MID,Sam Philp,Carlton,Richmond,6000,0,0,,85590
8001495,MID,Marlion Pickett,Richmond,Carlton,10390,0,0,,85590
8000240,RK,Toby Nankervis,Richmond,Carlton,12090,0,0,,85590
8001509,FWD,Brodie Kemp,Carlton,Richmond,6120,0,0,,85590
8000046,FWD,Jack Riewoldt,Richmond,Carlton,9330,0,0,,85590
