Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,total_salary
8000984,DEF,Liam Baker,Richmond,Carlton,10740,0,0,,90200
8000007,DEF,Sam Docherty,Carlton,Richmond,17160,0,0,,90200
8000856,MID,Jack Graham,Richmond,Carlton,11040,0,0,,90200
8002279,MID,Alex Cincotta,Carlton,Richmond,6000,0,0,,90200
8000004,MID,Patrick Cripps,Carlton,Richmond,15030,0,0,,90200
8001896,MID,Tyler Sonsie,Richmond,Carlton,9310,0,0,,90200
8000857,RK,Ivan Soldo,Richmond,Carlton,7670,0,0,,90200
8000945,FWD,Lachie Fogarty,Carlton,Richmond,7170,0,0,,90200
8001789,FWD,Maurice Rioli,Richmond,Carlton,6080,0,0,,90200
